Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Segment_enc,Region_enc,Category_enc,Ship Mode_enc
US-2021-001085,2021-11-27,2021-12-02,Standard Class,CUS-8316,Home Office,West,Oregon,Office Supplies,Labels,89.11,8,0.0,4.9,2,3,1,3
US-2023-001086,2023-01-08,2023-01-15,Same Day,CUS-7274,Home Office,Central,Michigan,Furniture,Bookcases,542.61,4,0.1,52.99,2,0,0,1
US-2021-001087,2021-04-23,2021-04-30,Same Day,CUS-9115,Home Office,West,Oregon,Office Supplies,Art,93.32,7,0.0,9.55,2,3,1,1
US-2020-001088,2020-03-16,2020-03-19,First Class,CUS-7717,Corporate,Central,Texas,Office Supplies,Art,12.92,1,0.0,2.14,1,0,1,0
US-2023-001089,2023-09-02,2023-09-05,Standard Class,CUS-6383,Corporate,West,Nevada,Office Supplies,Fasteners,43.17,7,0.0,3.94,1,3,1,3
US-2023-001090,2023-10-13,2023-10-20,First Class,CUS-4727,Home Office,Central,Indiana,Office Supplies,Binders,123.61,4,0.2,6.98,2,0,1,0
US-2020-001091,2020-07-04,2020-07-11,Second Class,CUS-6314,Corporate,West,California,Office Supplies,Storage,73.7,1,0.0,23.08,1,3,1,2
US-2020-001093,2020-12-24,2020-12-25,Second Class,CUS-5161,Home Office,South,Mississippi,Furniture,Tables,3042.6,4,0.5,197.67,2,2,0,2
US-2023-001095,2023-11-14,2023-11-19,Same Day,CUS-6881,Consumer,South,Alabama,Furniture,Chairs,1088.41,4,0.4,141.73,0,2,0,1
US-2021-001097,2021-08-09,2021-08-12,Second Class,CUS-1645,Home Office,Central,Illinois,Office Supplies,Storage,186.65,3,0.0,28.89,2,0,1,2
US-2021-001098,2021-09-24,2021-10-01,Second Class,CUS-3877,Corporate,West,Arizona,Technology,Accessories,549.55,6,0.4,71.55,1,3,2,2
US-2021-001099,2021-02-15,2021-02-18,Standard Class,CUS-6549,Home Office,Central,Wisconsin,Technology,Accessories,628.23,8,0.2,119.88,2,0,2,3
US-2020-001100,2020-08-23,2020-08-30,Same Day,CUS-1228,Consumer,West,Washington,Office Supplies,Storage,140.56,2,0.4,4.32,0,3,1,1
US-2021-001101,2021-06-25,2021-06-26,Standard Class,CUS-4830,Home Office,South,Alabama,Office Supplies,Art,59.14,6,0.0,18.9,2,2,1,3
US-2022-001102,2022-08-23,2022-08-24,First Class,CUS-2911,Consumer,Central,Wisconsin,Office Supplies,Art,59.43,5,0.4,1.28,0,0,1,0
US-2022-001104,2022-07-18,2022-07-23,Second Class,CUS-5583,Home Office,South,Mississippi,Furniture,Chairs,1443.64,8,0.4,57.87,2,2,0,2
US-2020-001105,2020-03-08,2020-03-13,Second Class,CUS-1992,Corporate,East,Virginia,Furniture,Chairs,1529.24,6,0.3,209.55,1,1,0,2
US-2022-001106,2022-03-26,2022-03-31,First Class,CUS-1828,Corporate,East,New York,Office Supplies,Paper,159.12,10,0.0,18.66,1,1,1,0
US-2021-001107,2021-11-14,2021-11-17,First Class,CUS-4817,Consumer,East,Florida,Office Supplies,Paper,211.55,10,0.1,21.23,0,1,1,0
US-2021-001108,2021-11-03,2021-11-06,Second Class,CUS-1422,Consumer,West,Oregon,Office Supplies,Storage,253.93,3,0.0,69.56,0,3,1,2
US-2022-001110,2022-05-12,2022-05-13,Standard Class,CUS-9254,Corporate,West,Nevada,Office Supplies,Labels,17.01,2,0.5,1.13,1,3,1,3
US-2022-001112,2022-10-01,2022-10-08,Second Class,CUS-7240,Corporate,West,California,Technology,Computers,3986.76,5,0.3,261.3,1,3,2,2
US-2022-001114,2022-07-13,2022-07-16,Same Day,CUS-6120,Corporate,South,Alabama,Furniture,Chairs,1561.71,6,0.4,152.5,1,2,0,1
US-2023-001115,2023-09-24,2023-09-29,Same Day,CUS-8075,Home Office,Central,Illinois,Technology,Phones,939.06,2,0.0,188.55,2,0,2,1
US-2020-001116,2020-07-16,2020-07-21,Standard Class,CUS-7929,Consumer,East,Florida,Office Supplies,Binders,194.81,7,0.3,20.5,0,1,1,3
US-2023-001118,2023-02-13,2023-02-18,Second Class,CUS-1474,Home Office,West,Oregon,Furniture,Chairs,1938.66,10,0.2,74.64,2,3,0,2
US-2020-001120,2020-10-17,2020-10-18,Same Day,CUS-7062,Consumer,West,Arizona,Furniture,Furnishings,465.77,6,0.0,156.58,0,3,0,1
US-2021-001121,2021-09-30,2021-10-05,Second Class,CUS-8259,Consumer,West,California,Office Supplies,Binders,73.45,2,0.2,7.95,0,3,1,2
US-2021-001124,2021-02-22,2021-02-27,Standard Class,CUS-8055,Corporate,East,Pennsylvania,Furniture,Chairs,251.91,1,0.5,23.12,1,1,0,3
US-2020-001125,2020-12-25,2020-12-28,Second Class,CUS-7505,Home Office,South,Mississippi,Office Supplies,Labels,59.47,6,0.0,9.84,2,2,1,2
US-2020-001126,2020-03-27,2020-04-03,Standard Class,CUS-7843,Consumer,West,Nevada,Office Supplies,Art,136.85,10,0.4,8.1,0,3,1,3
US-2021-001127,2021-08-15,2021-08-16,Second Class,CUS-8155,Corporate,South,Georgia,Office Supplies,Art,59.36,6,0.0,12.88,1,2,1,2
US-2020-001128,2020-08-04,2020-08-07,First Class,CUS-6456,Corporate,South,Mississippi,Furniture,Bookcases,1004.16,6,0.1,215.19,1,2,0,0
US-2020-001129,2020-12-10,2020-12-11,Second Class,CUS-2684,Home Office,West,Arizona,Furniture,Bookcases,624.52,3,0.1,40.93,2,3,0,2
US-2020-001130,2020-10-26,2020-10-31,Second Class,CUS-8601,Home Office,East,Pennsylvania,Office Supplies,Binders,103.55,3,0.5,10.78,2,1,1,2
US-2023-001132,2023-04-26,2023-04-27,Standard Class,CUS-7041,Consumer,Central,Wisconsin,Furniture,Furnishings,72.51,1,0.0,19.74,0,0,0,3
US-2023-001134,2023-05-24,2023-05-31,First Class,CUS-1641,Corporate,East,New York,Furniture,Chairs,2123.54,9,0.0,293.21,1,1,0,0
US-2021-001135,2021-05-22,2021-05-29,Standard Class,CUS-7697,Home Office,South,Mississippi,Furniture,Bookcases,842.81,5,0.4,100.76,2,2,0,3
US-2021-001136,2021-11-23,2021-11-24,First Class,CUS-5128,Corporate,Central,Texas,Office Supplies,Fasteners,52.18,7,0.2,11.36,1,0,1,0
US-2023-001137,2023-09-06,2023-09-09,Second Class,CUS-2388,Home Office,Central,Texas,Furniture,Bookcases,1107.5,7,0.0,222.0,2,0,0,2
US-2021-001138,2021-09-26,2021-10-03,First Class,CUS-1298,Home Office,Central,Illinois,Office Supplies,Fasteners,41.13,7,0.3,5.36,2,0,1,0
US-2021-001140,2021-08-28,2021-08-29,Second Class,CUS-3962,Home Office,West,Oregon,Office Supplies,Art,39.54,3,0.0,5.99,2,3,1,2
US-2023-001141,2023-11-19,2023-11-22,Standard Class,CUS-5668,Corporate,South,Georgia,Office Supplies,Fasteners,24.71,4,0.5,0.58,1,2,1,3
US-2022-001142,2022-07-08,2022-07-11,Second Class,CUS-7256,Corporate,East,Ohio,Furniture,Furnishings,445.53,8,0.2,18.2,1,1,0,2
US-2022-001143,2022-10-26,2022-11-02,Second Class,CUS-2680,Home Office,East,Pennsylvania,Furniture,Chairs,2169.73,8,0.3,245.63,2,1,0,2
US-2022-001145,2022-07-12,2022-07-17,Same Day,CUS-2337,Consumer,West,Nevada,Office Supplies,Storage,204.67,4,0.4,5.11,0,3,1,1
US-2022-001146,2022-02-06,2022-02-09,Standard Class,CUS-8740,Consumer,West,Oregon,Technology,Computers,767.75,1,0.2,81.55,0,3,2,3
US-2023-001147,2023-11-26,2023-11-29,First Class,CUS-3449,Home Office,South,Louisiana,Technology,Phones,2212.14,5,0.1,378.55,2,2,2,0
US-2023-001148,2023-01-28,2023-02-04,Standard Class,CUS-8489,Consumer,West,Oregon,Technology,Phones,1595.52,4,0.4,74.7,0,3,2,3
US-2020-001149,2020-05-08,2020-05-09,First Class,CUS-3352,Home Office,South,Mississippi,Office Supplies,Labels,83.93,10,0.1,5.25,2,2,1,0
US-2021-001150,2021-08-19,2021-08-26,Second Class,CUS-9576,Corporate,West,Arizona,Office Supplies,Art,28.07,3,0.0,5.88,1,3,1,2
US-2022-001151,2022-01-08,2022-01-09,First Class,CUS-1266,Corporate,West,Nevada,Office Supplies,Art,65.85,6,0.2,10.67,1,3,1,0
US-2022-001152,2022-01-01,2022-01-02,First Class,CUS-1726,Home Office,Central,Illinois,Office Supplies,Fasteners,29.44,6,0.0,10.09,2,0,1,0
US-2021-001153,2021-12-22,2021-12-27,Same Day,CUS-8498,Home Office,East,Virginia,Office Supplies,Paper,61.15,3,0.0,8.98,2,1,1,1
US-2020-001154,2020-03-16,2020-03-21,First Class,CUS-9897,Consumer,East,New York,Furniture,Bookcases,1509.4,9,0.4,80.83,0,1,0,0
US-2022-001155,2022-08-27,2022-09-01,Standard Class,CUS-7029,Corporate,West,Washington,Technology,Accessories,370.72,5,0.0,27.26,1,3,2,3
US-2022-001156,2022-06-13,2022-06-20,Second Class,CUS-2353,Corporate,South,Louisiana,Furniture,Furnishings,277.07,6,0.2,63.08,1,2,0,2
US-2022-001157,2022-05-19,2022-05-20,Standard Class,CUS-5843,Consumer,South,Mississippi,Furniture,Chairs,567.2,2,0.3,78.09,0,2,0,3
US-2021-001158,2021-09-19,2021-09-26,Same Day,CUS-8126,Home Office,South,Tennessee,Furniture,Furnishings,60.71,1,0.3,3.29,2,2,0,1
US-2020-001160,2020-09-15,2020-09-16,Same Day,CUS-8371,Corporate,East,Ohio,Office Supplies,Binders,321.2,10,0.0,84.92,1,1,1,1
US-2022-001161,2022-01-29,2022-02-03,Second Class,CUS-5566,Home Office,South,Georgia,Office Supplies,Storage,469.26,7,0.3,33.45,2,2,1,2
US-2021-001162,2021-05-26,2021-05-27,Same Day,CUS-8311,Corporate,West,Washington,Office Supplies,Binders,177.29,5,0.2,32.33,1,3,1,1
US-2021-001163,2021-03-15,2021-03-20,Second Class,CUS-2438,Consumer,South,Tennessee,Technology,Copiers,3678.27,3,0.5,257.68,0,2,2,2
US-2023-001164,2023-10-28,2023-11-02,Standard Class,CUS-9335,Home Office,Central,Texas,Furniture,Tables,1596.94,3,0.3,105.62,2,0,0,3
US-2021-001165,2021-04-04,2021-04-05,Same Day,CUS-8657,Consumer,East,Pennsylvania,Technology,Accessories,712.45,9,0.3,105.12,0,1,2,1
US-2023-001166,2023-02-03,2023-02-06,Same Day,CUS-7708,Corporate,West,California,Office Supplies,Fasteners,27.4,8,0.4,0.95,1,3,1,1
US-2023-001167,2023-03-23,2023-03-24,First Class,CUS-3102,Home Office,East,Ohio,Furniture,Furnishings,441.94,9,0.3,14.63,2,1,0,0
US-2021-001169,2021-10-22,2021-10-25,First Class,CUS-3050,Corporate,Central,Wisconsin,Furniture,Tables,4898.86,9,0.2,261.22,1,0,0,0
US-2023-001170,2023-07-04,2023-07-09,Second Class,CUS-6531,Home Office,West,Arizona,Office Supplies,Labels,21.53,3,0.0,4.13,2,3,1,2
US-2023-001171,2023-02-28,2023-03-01,Standard Class,CUS-1496,Consumer,West,California,Office Supplies,Paper,110.83,10,0.4,8.15,0,3,1,3
US-2022-001172,2022-10-16,2022-10-21,Same Day,CUS-3589,Consumer,Central,Indiana,Furniture,Furnishings,126.64,2,0.0,29.73,0,0,0,1
US-2022-001173,2022-06-19,2022-06-26,Standard Class,CUS-6658,Consumer,South,Louisiana,Office Supplies,Paper,90.12,6,0.3,3.05,0,2,1,3
US-2022-001175,2022-07-09,2022-07-12,Standard Class,CUS-6364,Consumer,East,New York,Furniture,Furnishings,216.27,4,0.0,66.38,0,1,0,3
US-2023-001176,2023-03-29,2023-04-03,Same Day,CUS-2475,Corporate,East,Pennsylvania,Furniture,Bookcases,1276.17,8,0.0,126.19,1,1,0,1
US-2022-001177,2022-03-16,2022-03-23,Standard Class,CUS-8710,Home Office,East,Pennsylvania,Technology,Phones,1656.45,5,0.5,120.62,2,1,2,3
US-2021-001178,2021-08-08,2021-08-09,Standard Class,CUS-1741,Consumer,West,Nevada,Office Supplies,Storage,377.34,7,0.3,45.31,0,3,1,3
US-2023-001180,2023-06-30,2023-07-01,Standard Class,CUS-9341,Corporate,East,New York,Furniture,Bookcases,408.38,3,0.1,82.16,1,1,0,3
US-2022-001181,2022-04-02,2022-04-03,Standard Class,CUS-6373,Consumer,West,California,Furniture,Furnishings,185.84,3,0.0,39.71,0,3,0,3
US-2023-001182,2023-06-09,2023-06-14,Standard Class,CUS-5911,Home Office,East,Virginia,Office Supplies,Storage,704.19,9,0.5,35.03,2,1,1,3
US-2022-001183,2022-08-30,2022-08-31,First Class,CUS-5350,Home Office,Central,Michigan,Furniture,Bookcases,168.79,1,0.5,16.29,2,0,0,0
US-2023-001184,2023-09-04,2023-09-07,Second Class,CUS-3421,Corporate,West,Tennessee,Office Supplies,Fasteners,46.11,10,0.4,1.33,1,3,1,2
US-2023-001185,2023-10-26,2023-10-29,First Class,CUS-7861,Home Office,West,Arizona,Technology,Phones,2957.9,8,0.3,87.28,2,3,2,0
US-2020-001186,2020-11-06,2020-11-13,Same Day,CUS-9498,Home Office,East,Virginia,Office Supplies,Fasteners,5.45,1,0.0,1.39,2,1,1,1
US-2021-001188,2021-12-26,2021-12-31,Standard Class,CUS-5735,Consumer,South,Tennessee,Office Supplies,Storage,430.15,4,0.2,16.47,0,2,1,3
US-2023-001189,2023-12-14,2023-12-17,Standard Class,CUS-2996,Corporate,South,Alabama,Office Supplies,Fasteners,38.0,5,0.2,3.44,1,2,1,3
US-2023-001190,2023-03-20,2023-03-27,Standard Class,CUS-8247,Consumer,South,Alabama,Technology,Accessories,135.56,2,0.3,18.68,0,2,2,3
US-2023-001191,2023-09-05,2023-09-10,Standard Class,CUS-2789,Consumer,South,Tennessee,Office Supplies,Fasteners,27.6,5,0.0,8.65,0,2,1,3
US-2023-001192,2023-06-14,2023-06-17,Standard Class,CUS-7771,Home Office,East,New York,Office Supplies,Paper,15.59,1,0.0,4.54,2,1,1,3
US-2021-001193,2021-11-07,2021-11-14,Second Class,CUS-5706,Consumer,West,Washington,Furniture,Furnishings,569.6,8,0.1,48.69,0,3,0,2
US-2021-001194,2021-10-19,2021-10-24,Second Class,CUS-7846,Home Office,West,California,Office Supplies,Fasteners,6.05,1,0.0,1.77,2,3,1,2
US-2021-001196,2021-08-05,2021-08-12,Same Day,CUS-3662,Home Office,South,Tennessee,Furniture,Tables,901.37,2,0.3,135.67,2,2,0,1
US-2022-001197,2022-07-28,2022-08-02,Standard Class,CUS-8007,Home Office,East,New York,Furniture,Tables,1264.03,3,0.4,169.79,2,1,0,3
US-2020-001199,2020-01-14,2020-01-19,Standard Class,CUS-5285,Corporate,South,Tennessee,Furniture,Bookcases,1485.47,10,0.0,410.53,1,2,0,3
US-2023-001200,2023-08-31,2023-09-05,First Class,CUS-9233,Home Office,East,New York,Furniture,Bookcases,359.63,3,0.4,47.07,2,1,0,0
US-2023-001202,2023-05-25,2023-05-30,Second Class,CUS-9653,Corporate,South,Mississippi,Technology,Phones,3340.87,9,0.5,319.38,1,2,2,2
US-2023-001203,2023-12-12,2023-12-17,First Class,CUS-3695,Consumer,West,Arizona,Office Supplies,Labels,41.29,4,0.0,2.2,0,3,1,0
US-2021-001204,2021-11-02,2021-11-09,Same Day,CUS-3161,Home Office,West,Washington,Technology,Copiers,1812.96,1,0.5,42.09,2,3,2,1
US-2022-001205,2022-11-17,2022-11-24,Same Day,CUS-5169,Consumer,South,Mississippi,Office Supplies,Storage,84.42,1,0.4,11.54,0,2,1,1
US-2020-001206,2020-01-07,2020-01-10,Standard Class,CUS-2130,Corporate,West,California,Office Supplies,Binders,286.8,9,0.0,63.68,1,3,1,3
US-2022-001207,2022-08-24,2022-08-25,Second Class,CUS-7266,Consumer,Central,Indiana,Office Supplies,Fasteners,35.0,7,0.3,3.44,0,0,1,2
US-2022-001208,2022-07-07,2022-07-14,Second Class,CUS-9802,Home Office,South,Georgia,Office Supplies,Storage,115.58,2,0.0,17.18,2,2,1,2
US-2022-001209,2022-03-15,2022-03-18,Standard Class,CUS-4762,Consumer,East,New York,Furniture,Furnishings,577.26,9,0.4,64.94,0,1,0,3
